Date,Liguria,Piedmont,Lombardy,Veneto,Trentino-Alto Adige,Emilia-Romaña,Marche,Toscana,Lazio,Campania,Apulia,Abruzzo,Sicily
lng,44.525028,45.093139,45.781236,45.683209,46.428697,44.484142,43.363001,43.460985,42.051496,40.926769,40.903372,42.230281,37.523853
lat,8.964141,7.951708,9.697433,11.893259,11.219316,10.964052,13.220717,11.071172,12.670694,14.859221,16.923046,13.949694,14.226357
2020-01-31,,,,,,,,,2,,,,
2020-02-06,,,,,,,,,1,,,,
2020-02-21,,,15,2,,,,,,,,,
2020-02-22,,1,40,16,,2,,,,,,,
2020-02-23,,2,57,7,,7,,,,,,,
2020-02-24,,,61,7,,9,,,,,,,
2020-02-25,1,,67,11,1,8,,2,,,,,3
2020-02-26,10,,18,28,,21,1,,,,,,
2020-02-27,8,1,145,40,,50,2,,,3,1,1,1
